"id","first_name","last_name","dob"
490006,"Jennifer","Lopez","1969-07-24"
490012,"Julie","Andrews","1935-10-01"
755007,"Mike","Myers","1963-05-25"
755008,"Craig","Nelson","1944-04-04"
755011,"Arnold","Schwarzeneggar","1947-07-30"
755013,"Marlon","Wayans","1972-07-23"
755014,"Ewan","MacGregor","1971-03-31"
755017,"Eddie","Murphy","1961-04-03"
911,"Kristin","Kreuk","1982-12-30"
919,"Kirsten Dunst","Kreuk","1982-04-30"
135003,"Madeleine","Stowe","1958-08-18"
135005,"Rutger","Hauer","1944-01-23"
135006,"Daryl","Hannah","1960-12-03"
135007,"Jason","Statham","1905-05-25"
135008,"Kevin","Spacey","1959-07-26"
135009,"Gabriel","Byrne","1950-05-12"
135012,"Bill","Murray","1950-09-21"
135013,"Cate ","Blanchett","1969-05-14"
135014,"Danny","Glover","1946-07-22"
135015,"Kiefer","Sutherland","1966-12-21"
135017,"Sophie","Marceau","1966-11-17"
135022,"Jeff","Daniels","1955-02-19"
135023,"Will","Farrel","1967-07-16"
135024,"Graham","Chapman","1941-01-08"
671107,"Casper","Van Dien","1968-12-18"
671109,"Brendan","Fraser","1968-12-03"
156005,"Charlotte","Ayanna","1976-09-25"
156009,"Arnold","Schwarzenegger","1947-07-30"
156010,"Linda","Hamilton","1956-09-26"
156011,"Jeff","Goldblum","1952-10-22"
156012,"Linda","Hamilton","1967-02-10"
156016,"Vinnie","Jones","1965-01-05"
156023,"Samuel L.","Jackson","1948-12-21"
156024,"Jason","Liu","1983-01-29"
872001,"Halle","Barry","1966-08-14"
872004,"Vince","Vaughn","1970-03-28"
872005,"Snoop","Dogg","1971-10-20"
872010,"Jamie","Fox","1967-12-13"
872011,"Kerry","Washington","1977-01-05"
788001,"Meg","Ryan","1961-11-19"
788008,"Ashley","Judd","1968-04-19"
788011,"Kate","Hudson","1979-04-19"
525102,"George","Lazenby","1939-09-05"
525103,"Roger","Moore","1927-10-14"
525105,"Pierce","Brosnan","1953-05-16"
525106,"Bernard","Lee","1980-01-10"
525107,"Robert","Brown","1921-07-23"
525108,"Judi","Dench","1934-12-09"
525109,"Lois","Maxwell","1927-02-14"
525110,"Caroline","Bliss","1961-01-01"
525111,"Samantha","Bond","1962-11-27"
525112,"Desmond","Llewelyn","1914-09-12"
525113,"John","Cleese","1939-10-27"
764001,"Joaquin","Phoenix","1974-10-28"
764002,"Diane","Kruger","1976-07-15"
764003,"Nicholas","Cage","1964-01-07"
764007,"Nona","Gaye","1974-09-04"
764008,"Ron","Perlman","1950-04-13"
764009,"Adam","Sandler","1966-09-09"
764011,"Bryce","Howard","1981-03-02"
764013,"William","Hurt","1950-03-20"
764015,"Brendan","Gleeson","1955-11-09"
764016,"Micheal","Pitt","1981-04-10"
764017,"John","Hurt","1940-01-22"
764018,"Selma","Blair","1972-06-23"
764019,"Jeffery","Tambor","1944-07-08"
764020,"David","Pierce","1959-04-03"
855101,"Chris","Tucker","1872-08-13"
855103,"Jennifer","Lopez","1970-07-24"
855107,"Catherine","Zeta-Jones","1969-09-21"
855111,"Christina","Ricci","1980-02-12"
855112,"Jim","Carrery","1962-01-17"
683002,"Marlon","Brando","1924-03-04"
683003,"Giovanni","Ribisi","1974-03-31"
683004,"Sylvester","Stallone","1946-07-06"
788003,"Russell","Crowe","1964-04-07"
683007,"Paul","Walker","1973-09-12"
683010,"Josh","Hartnett","1978-07-21"
683013,"Michelle","Pfeiffer","1958-04-29"
683014,"Steven","Bauer","1956-12-02"
683016,"Eva","Mendes","1978-03-05"
683018,"Gina","Gershon","1962-06-10"
683019,"Estella","Warren","1978-12-23"
683020,"Jordana","Brewster","1980-04-26"
683021,"Jamie","Foxx","1967-12-13"
150002,"Ice","Cube","1969-06-09"
150003,"Asanee","Suwan","1978-04-07"
150004,"Christian","Slater","1969-06-18"
150005,"Robert","De Niro","1943-06-17"
150006,"Samuel","Jackson","1948-08-21"
150008,"Emmet","Walsh","1935-03-02"
150010,"Colin","Farrell","1976-05-13"
634002,"Laurence ","Fishburne","1961-07-30"
634005,"Hugo","Weaving","1960-04-04"
634006,"Viggo","Mortensen","1958-10-20"
634007,"Ian","McKellen","1939-05-25"
634011,"Zhang","Ziyi","1979-02-09"
326103,"Jennifer","Aniston","1969-02-11"
326105,"Meryl","Streep","1949-06-22"
412007,"Antonio","Banderas","1960-08-10"
412011,"Sharon","Stone","1958-03-10"
412017,"Hugh","Jackman","1968-10-12"
412018,"Rebecca","Romijn-Stamos","1973-11-06"
412020,"Kelly","Hu","1968-02-13"
412022,"Penelope","Cruz","1974-04-28"
412023,"Cameron","Diaz","1972-08-03"
412026,"Goran","Visnjic","1972-09-09"
412027,"Will Yun","Lee","1975-03-22"
412029,"Michael","Caine","1933-03-14"
412030,"Liam","Neeson","1952-06-07"
412032,"Katie","Holmes","1978-12-18"
140002,"Franka","Potente","1974-07-22"
140003,"Chris","Cooper","1951-07-09"
140004,"Brian","Cox","1946-06-01"
140010,"Greg","Ellis","1968-03-21"
140011,"Nickolas","Cage","1964-01-07"
140012,"Giovanni","Ribsi","1974-12-17"
140013,"William","Scott","1973-07-06"
140014,"Scott","Caan","1976-08-23"
140016,"Nia","Long","1970-10-30"
140017,"Nicky","Katt","1970-05-11"
140020,"Benicio","Del Toro","1967-02-19"
140022,"Aishwarya","Rai","1973-11-01"
140024,"TommyLee","Jones","1946-09-15"
